CellType,Factor,ENCODE_BAM,ENCODE_BED,Model-k,Model-theta,Model-frac,Model-spot,Model-pcr,ModelFile
GM12878,ETS1,ENCFF293YYY,ENCFF332PGQ,20.95,9.23,0.00040,0.02743,0.81,s3://chipmunk-encode-models/GM12878_ETS1_ENCFF293YYY_ENCFF332PGQ-1.9.json
GM12878,ETS1,ENCFF952WXS,ENCFF332PGQ,20.96,9.20,0.00041,0.03598,0.82,s3://chipmunk-encode-models/GM12878_ETS1_ENCFF952WXS_ENCFF332PGQ-1.9.json
GM12878,ETV6,ENCFF150UOG,ENCFF692GBM,18.96,9.90,0.00110,0.06474,0.92,s3://chipmunk-encode-models/GM12878_ETV6_ENCFF150UOG_ENCFF692GBM-1.9.json
GM12878,ETV6,ENCFF218VQM,ENCFF304WER,18.82,14.98,0.00017,0.00834,0.69,s3://chipmunk-encode-models/GM12878_ETV6_ENCFF218VQM_ENCFF304WER.paired-1.9.json
GM12878,ETV6,ENCFF218VQM,ENCFF304WER,20.80,9.58,0.00017,0.00735,0.69,s3://chipmunk-encode-models/GM12878_ETV6_ENCFF218VQM_ENCFF304WER-1.9.json
GM12878,ETV6,ENCFF425VPI,ENCFF304WER,19.56,13.75,0.00017,0.01029,0.70,s3://chipmunk-encode-models/GM12878_ETV6_ENCFF425VPI_ENCFF304WER.paired-1.9.json
GM12878,ETV6,ENCFF425VPI,ENCFF304WER,20.81,9.55,0.00017,0.00919,0.70,s3://chipmunk-encode-models/GM12878_ETV6_ENCFF425VPI_ENCFF304WER-1.9.json
GM12878,ETV6,ENCFF887NEW,ENCFF692GBM,16.40,10.57,0.00109,0.03701,0.95,s3://chipmunk-encode-models/GM12878_ETV6_ENCFF887NEW_ENCFF692GBM-1.9.json
GM12878,EZH2,ENCFF639DUN,ENCFF678JII,20.87,9.42,0.00007,0.00195,0.85,s3://chipmunk-encode-models/GM12878_EZH2_ENCFF639DUN_ENCFF678JII-1.9.json
GM12878,EZH2,ENCFF916AYY,ENCFF678JII,20.91,9.32,0.00007,0.00337,0.85,s3://chipmunk-encode-models/GM12878_EZH2_ENCFF916AYY_ENCFF678JII-1.9.json
GM12878,FOXM1,ENCFF052ESD,ENCFF002CGZ,11.87,16.01,0.00130,0.06099,0.86,s3://chipmunk-encode-models/GM12878_FOXM1_ENCFF052ESD_ENCFF002CGZ-1.9.json
GM12878,FOXM1,ENCFF077ZJA,ENCFF002CGZ,11.25,16.08,0.00135,0.06491,0.94,s3://chipmunk-encode-models/GM12878_FOXM1_ENCFF077ZJA_ENCFF002CGZ-1.9.json
GM12878,GABPA,ENCFF084LVF,ENCFF116EXQ,14.92,11.41,0.00043,0.05836,0.87,s3://chipmunk-encode-models/GM12878_GABPA_ENCFF084LVF_ENCFF116EXQ-1.9.json
GM12878,GABPA,ENCFF742KAV,ENCFF116EXQ,16.87,11.28,0.00043,0.03905,0.88,s3://chipmunk-encode-models/GM12878_GABPA_ENCFF742KAV_ENCFF116EXQ-1.9.json
GM12878,H2AFZ,ENCFF901PZR,ENCFF584NAD,5.50,38.15,0.00383,0.22216,0.93,s3://chipmunk-encode-models/GM12878_H2AFZ_ENCFF901PZR_ENCFF584NAD-1.9.json
GM12878,H2AFZ,ENCFF929VPV,ENCFF584NAD,5.11,39.55,0.00386,0.17475,0.95,s3://chipmunk-encode-models/GM12878_H2AFZ_ENCFF929VPV_ENCFF584NAD-1.9.json
GM12878,H3K27ac,ENCFF097SQI,ENCFF816AHV,6.02,36.45,0.00892,0.50900,0.93,s3://chipmunk-encode-models/GM12878_H3K27ac_ENCFF097SQI_ENCFF816AHV-1.9.json
GM12878,H3K27ac,ENCFF385RWJ,ENCFF816AHV,5.60,37.80,0.00914,0.51870,0.96,s3://chipmunk-encode-models/GM12878_H3K27ac_ENCFF385RWJ_ENCFF816AHV-1.9.json
